iter	Passed	Remaining
0	1	149
1	2	144
2	4	141
3	5	129
4	7	133
5	9	144
6	10	142
7	12	142
8	14	148
9	16	150
10	18	146
11	19	144
12	21	144
13	23	141
14	24	139
15	26	140
16	28	137
17	29	136
18	31	135
19	33	134
20	35	133
21	36	130
22	38	128
23	39	126
24	40	121
25	41	117
26	42	113
27	42	110
28	43	106
29	44	103
30	45	100
31	46	97
32	46	94
33	47	92
34	48	89
35	49	87
36	49	84
37	50	82
38	51	80
39	52	78
40	53	76
41	53	73
42	54	71
43	55	70
44	56	68
45	57	66
46	57	65
47	58	63
48	59	61
49	60	60
50	61	58
51	62	57
52	63	55
53	63	54
54	64	52
55	65	51
56	65	49
57	66	48
58	67	46
59	68	45
60	69	44
61	69	42
62	70	41
63	71	40
64	72	38
65	73	37
66	73	36
67	74	35
68	75	33
69	76	32
70	77	31
71	77	30
72	78	29
73	79	27
74	80	26
75	81	25
76	81	24
77	82	23
78	83	22
79	83	20
80	84	19
81	85	18
82	86	17
83	87	16
84	87	15
85	88	14
86	89	13
87	90	12
88	90	11
89	91	10
90	92	9
91	93	8
92	94	7
93	94	6
94	95	5
95	96	4
96	97	3
97	97	1
98	98	0
99	99	0
