iter	Passed	Remaining
0	98	97956
1	99	49825
2	101	33791
3	103	25672
4	104	20792
5	105	17497
6	106	15123
7	107	13357
8	108	11984
9	110	10950
10	111	10050
11	112	9285
12	113	8648
13	115	8106
14	116	7629
15	117	7213
16	118	6837
17	119	6505
18	125	6470
19	126	6201
20	127	5941
21	128	5701
22	129	5480
23	129	5278
24	130	5092
25	131	4919
26	132	4764
27	133	4617
28	133	4482
29	134	4353
30	140	4394
31	141	4283
32	142	4180
33	143	4083
34	144	3991
35	145	3908
36	146	3822
37	147	3738
38	148	3657
39	149	3582
40	150	3510
41	154	3524
42	155	3468
43	156	3406
44	157	3345
45	158	3285
46	159	3227
47	159	3172
48	160	3120
49	161	3071
50	162	3023
51	163	2978
52	164	2933
53	164	2889
54	165	2847
55	172	2906
56	173	2865
57	173	2825
58	174	2786
59	175	2749
60	176	2714
61	177	2679
62	177	2645
63	178	2612
64	179	2581
65	180	2550
66	181	2520
67	181	2491
68	186	2521
69	187	2496
70	188	2472
71	189	2447
72	190	2421
73	191	2396
74	192	2372
75	193	2351
76	194	2329
77	195	2312
78	196	2291
79	203	2341
80	204	2324
81	206	2315
82	207	2292
83	208	2277
84	210	2260
85	210	2240
86	211	2220
87	212	2201
88	218	2235
89	219	2220
90	220	2206
91	221	2190
92	222	2171
93	223	2154
94	224	2136
95	225	2119
96	225	2102
97	226	2086
98	227	2069
99	228	2053
100	234	2086
101	235	2073
102	236	2060
103	237	2046
104	238	2034
105	239	2020
106	240	2006
107	241	1992
108	242	1979
109	243	1966
110	243	1952
111	248	1972
112	249	1960
113	250	1948
114	251	1935
115	253	1929
116	254	1917
117	254	1905
118	255	1893
119	256	1880
120	257	1868
121	257	1855
122	258	1844
123	259	1832
124	266	1862
125	266	1851
126	267	1839
127	268	1828
128	269	1819
129	270	1812
130	272	1806
131	281	1848
132	290	1893
133	300	1942
134	305	1957
135	315	2005
136	318	2008
137	330	2066
138	332	2059
139	334	2055
140	336	2051
141	343	2073
142	344	2065
143	345	2056
144	347	2046
145	348	2037
146	349	2028
147	350	2019
148	351	2009
149	359	2039
150	360	2029
151	362	2020
152	363	2010
153	364	2002
154	365	1993
155	366	1985
156	368	1976
157	374	1994
158	376	1990
159	377	1983
160	378	1973
161	380	1965
162	381	1958
163	382	1950
164	383	1942
165	390	1964
166	392	1960
167	394	1952
168	395	1945
169	396	1937
170	397	1929
171	399	1921
172	405	1940
173	407	1933
174	408	1925
175	409	1918
176	410	1910
177	411	1902
178	412	1894
179	414	1887
180	422	1912
181	424	1905
182	425	1899
183	427	1894
184	428	1888
185	429	1881
186	431	1874
